ID,trial,Age,Sex,Race,target.sex,condition,adaptor,voice,pitch.judgement,attraction,masc.fem,likability,friends,typicality
7,31,19,2,3,male,masc,737,719,1,1,6,3,3,5
7,32,19,2,3,male,masc,744,722,1,2,5,5,5,6
7,33,19,2,3,male,masc,748,730,1,9,6,9,9,3
7,34,19,2,3,male,masc,721,733,1,3,4,5,5,5
7,35,19,2,3,male,masc,750,736,1,1,6,2,1,9
7,36,19,2,3,male,masc,748,740,1,9,9,9,9,2
7,37,19,2,3,male,masc,750,743,3,1,8,3,3,5
7,38,19,2,3,male,masc,737,745,1,4,7,5,5,5
7,39,19,2,3,male,masc,744,746,1,1,9,1,1,9
7,40,19,2,3,male,masc,721,749,1,3,7,4,3,7
8,1,41,1,4,female,masc,377,103,3,8,8,9,9,4
8,2,41,1,4,female,masc,365,112,2,8,9,8,7,7
8,3,41,1,4,female,masc,173,121,1,9,4,8,8,7
8,4,41,1,4,female,masc,354,144,3,8,9,8,9,5
8,5,41,1,4,female,masc,128,199,2,8,8,7,8,8
8,6,41,1,4,female,masc,365,315,2,4,5,5,4,3
8,7,41,1,4,female,masc,354,319,1,7,8,5,7,5
8,8,41,1,4,female,masc,128,323,1,6,7,7,6,2
8,9,41,1,4,female,masc,377,333,2,5,5,4,6,6
8,10,41,1,4,female,masc,173,338,1,7,8,8,7,7
8,11,41,1,4,female,masc,377,354,1,7,8,7,8,8
8,12,41,1,4,female,masc,365,367,2,4,3,4,4,6
8,13,41,1,4,female,masc,173,371,1,6,8,8,7,6
8,14,41,1,4,female,masc,128,380,1,3,2,3,3,4
8,15,41,1,4,female,masc,354,406,1,7,8,8,8,7
8,16,41,1,4,female,masc,354,413,3,8,9,8,8,8
8,17,41,1,4,female,masc,377,417,1,7,8,8,7,8
8,18,41,1,4,female,masc,365,437,1,5,4,5,4,5
8,19,41,1,4,female,masc,173,508,2,3,2,2,3,8
8,20,41,1,4,female,masc,128,663,3,8,8,9,9,4
8,21,41,1,4,male,masc,721,749,2,7,8,7,7,8
8,22,41,1,4,male,masc,744,746,3,4,5,5,6,5
8,23,41,1,4,male,masc,737,745,2,6,8,8,7,7
8,24,41,1,4,male,masc,750,743,1,2,2,3,4,8
8,25,41,1,4,male,masc,748,740,2,5,7,6,7,7
8,26,41,1,4,male,masc,750,736,2,8,9,9,8,4
8,27,41,1,4,male,masc,721,733,2,4,5,6,6,5
