ID,trial,Age,Sex,Race,target.sex,condition,adaptor,voice,pitch.judgement,attraction,masc.fem,likability,friends,typicality
12,1,21,1,4,male,typical,721,749,1,8,7,7,8,7
12,2,21,1,4,male,typical,744,746,3,2,5,2,1,7
12,3,21,1,4,male,typical,737,745,2,2,2,1,1,4
12,4,21,1,4,male,typical,750,743,2,4,3,4,5,1
12,5,21,1,4,male,typical,748,740,1,4,3,4,3,4
12,6,21,1,4,male,typical,750,736,3,3,2,2,1,2
12,7,21,1,4,male,typical,721,733,1,3,4,4,4,4
12,8,21,1,4,male,typical,748,730,3,6,5,5,5,6
12,9,21,1,4,male,typical,744,722,3,3,2,1,1,4
12,10,21,1,4,male,typical,737,719,1,2,1,1,2,1
12,11,21,1,4,male,typical,744,716,3,1,2,1,1,3
12,12,21,1,4,male,typical,721,714,1,8,7,7,7,6
12,13,21,1,4,male,typical,748,713,3,2,2,2,1,3
12,14,21,1,4,male,typical,750,710,2,6,6,6,7,8
12,15,21,1,4,male,typical,737,709,3,5,4,5,5,4
12,16,21,1,4,male,typical,748,707,3,8,6,6,6,5
12,17,21,1,4,male,typical,744,706,1,4,4,4,3,4
12,18,21,1,4,male,typical,737,704,1,1,1,1,1,3
12,19,21,1,4,male,typical,721,703,1,7,6,5,5,6
12,20,21,1,4,male,typical,750,701,2,5,3,4,4,4
12,21,21,1,4,female,typical,128,663,2,1,1,1,1,4
12,22,21,1,4,female,typical,173,508,2,6,7,7,7,6
12,23,21,1,4,female,typical,365,437,2,5,6,3,3,5
12,24,21,1,4,female,typical,377,417,2,2,5,1,1,5
12,25,21,1,4,female,typical,354,413,1,2,6,2,1,6
12,26,21,1,4,female,typical,354,406,2,6,8,4,4,5
12,27,21,1,4,female,typical,128,380,1,3,3,5,4,5
12,28,21,1,4,female,typical,173,371,2,6,6,6,7,7
12,29,21,1,4,female,typical,365,367,3,5,6,6,6,5
12,30,21,1,4,female,typical,377,354,2,3,7,3,1,4
12,31,21,1,4,female,typical,173,338,2,4,5,3,3,9
12,32,21,1,4,female,typical,377,333,2,1,5,1,1,3
12,33,21,1,4,female,typical,128,323,2,6,4,3,3,4
12,34,21,1,4,female,typical,354,319,2,6,7,7,5,5
12,35,21,1,4,female,typical,365,315,3,4,9,3,1,3
12,36,21,1,4,female,typical,128,199,3,6,5,5,5,6
12,37,21,1,4,female,typical,354,144,2,6,7,6,5,4
12,38,21,1,4,female,typical,173,121,2,5,4,3,3,2
12,39,21,1,4,female,typical,365,112,2,5,4,4,4,2
12,40,21,1,4,female,typical,377,103,2,6,3,3,4,1
13,1,53,2,4,male,typical,721,749,1,6,6,6,6,5
13,2,53,2,4,male,typical,744,746,3,6,6,6,6,6
13,3,53,2,4,male,typical,737,745,3,5,5,4,4,5
13,4,53,2,4,male,typical,750,743,2,4,4,4,4,4
13,5,53,2,4,male,typical,748,740,1,6,6,6,6,5
13,6,53,2,4,male,typical,750,736,1,6,6,6,6,5
13,7,53,2,4,male,typical,721,733,1,4,5,4,4,4
13,8,53,2,4,male,typical,748,730,1,5,5,5,5,5
13,9,53,2,4,male,typical,744,722,3,6,6,6,6,5
13,10,53,2,4,male,typical,737,719,1,5,5,5,5,5
13,11,53,2,4,male,typical,744,716,2,6,5,4,4,3
13,12,53,2,4,male,typical,721,714,1,5,5,5,5,5
13,13,53,2,4,male,typical,748,713,3,6,5,5,5,5
13,14,53,2,4,male,typical,750,710,3,5,5,5,5,5
13,15,53,2,4,male,typical,737,709,1,6,5,6,6,5
13,16,53,2,4,male,typical,748,707,1,6,5,5,5,5
13,17,53,2,4,male,typical,744,706,3,6,5,6,6,5
13,18,53,2,4,male,typical,737,704,1,5,4,4,4,4
13,19,53,2,4,male,typical,721,703,1,5,5,5,5,5
13,20,53,2,4,male,typical,750,701,3,5,3,4,4,4
13,21,53,2,4,female,typical,128,663,1,5,5,5,6,5
13,22,53,2,4,female,typical,173,508,2,5,4,5,6,5
13,23,53,2,4,female,typical,365,437,2,5,5,6,6,5
13,24,53,2,4,female,typical,377,417,2,6,5,4,4,5
13,25,53,2,4,female,typical,354,413,3,5,7,6,6,5
13,26,53,2,4,female,typical,354,406,3,6,6,6,6,5
13,27,53,2,4,female,typical,128,380,3,5,4,4,4,8
13,28,53,2,4,female,typical,173,371,2,5,5,7,7,7
13,29,53,2,4,female,typical,365,367,2,5,5,4,4,7
13,30,53,2,4,female,typical,377,354,2,6,6,4,4,6
13,31,53,2,4,female,typical,173,338,3,5,5,7,7,7
13,32,53,2,4,female,typical,377,333,2,6,6,3,3,7
13,33,53,2,4,female,typical,128,323,3,6,5,6,6,7
13,34,53,2,4,female,typical,354,319,2,6,6,6,6,6
13,35,53,2,4,female,typical,365,315,2,6,6,4,4,6
13,36,53,2,4,female,typical,128,199,1,5,5,5,5,5
