ID,trial,Age,Sex,Race,condition,adaptor,voice,pitch.judgement,attraction,femininity,likability,friends,typicality
23,15,21,2,4,atypical,354,406,2,8,8,8,7,8
23,16,21,2,4,atypical,354,413,3,9,8,8,8,8
23,17,21,2,4,atypical,377,417,1,7,6,6,5,7
23,18,21,2,4,atypical,365,437,1,6,5,6,6,5
23,19,21,2,4,atypical,173,508,3,6,6,6,7,7
23,20,21,2,4,atypical,128,663,1,7,6,7,6,6
24,1,33,1,2,typical,377,103,2,8,7,7,7,7
24,2,33,1,2,typical,365,122,2,6,4,5,3,4
24,3,33,1,2,typical,173,121,3,8,8,8,7,7
24,4,33,1,2,typical,354,144,2,8,8,8,8,8
24,5,33,1,2,typical,128,199,3,6,5,6,5,5
24,6,33,1,2,typical,365,315,2,9,9,8,8,8
