ID,trial,Computer,Age,Sex,SO,Race,Politics,Education,condition,adaptor,voice,pitch.judgement,attraction,femininity,likability,friends,typicality
17,10,4,55,1,1,4,4,2,atypical,377,354,1,8,8,8,7,6
17,11,4,55,1,1,4,4,2,atypical,173,338,1,6,6,7,6,6
17,12,4,55,1,1,4,4,2,atypical,377,333,1,8,8,7,7,5
17,13,4,55,1,1,4,4,2,atypical,128,323,2,7,6,7,7,6
17,14,4,55,1,1,4,4,2,atypical,354,319,3,6,7,6,6,5
17,15,4,55,1,1,4,4,2,atypical,365,315,2,6,6,5,5,4
17,16,4,55,1,1,4,4,2,atypical,128,199,2,8,7,7,7,5
17,17,4,55,1,1,4,4,2,atypical,354,144,2,5,5,6,6,7
17,18,4,55,1,1,4,4,2,atypical,173,121,1,6,6,5,6,5
17,19,4,55,1,1,4,4,2,atypical,365,112,2,7,6,6,7,6
17,20,4,55,1,1,4,4,2,atypical,377,103,1,7,6,7,7,6
18,1,2,34,1,1,4,5,5,typical,377,103,2,7,7,7,6,4
18,2,2,34,1,1,4,5,5,typical,365,122,3,7,7,7,7,6
18,3,2,34,1,1,4,5,5,typical,173,121,2,5,7,6,6,4
18,4,2,34,1,1,4,5,5,typical,354,144,2,7,7,6,7,4
18,5,2,34,1,1,4,5,5,typical,128,199,2,3,4,4,4,6
18,6,2,34,1,1,4,5,5,typical,365,315,2,5,5,4,5,7
18,7,2,34,1,1,4,5,5,typical,354,319,2,8,8,8,8,3
18,8,2,34,1,1,4,5,5,typical,128,323,3,3,5,3,2,6
18,9,2,34,1,1,4,5,5,typical,377,333,2,6,6,6,5,6
18,10,2,34,1,1,4,5,5,typical,173,338,2,5,7,4,4,6
18,11,2,34,1,1,4,5,5,typical,377,354,2,7,7,7,7,5
18,12,2,34,1,1,4,5,5,typical,365,367,3,7,6,6,7,5
18,13,2,34,1,1,4,5,5,typical,173,371,2,5,6,4,4,6
18,14,2,34,1,1,4,5,5,typical,128,380,2,3,4,3,3,3
18,15,2,34,1,1,4,5,5,typical,354,406,3,8,7,8,8,3
18,16,2,34,1,1,4,5,5,typical,354,413,3,8,8,9,8,3
18,17,2,34,1,1,4,5,5,typical,377,417,2,6,6,6,5,7
18,18,2,34,1,1,4,5,5,typical,365,437,2,5,5,4,5,6
18,19,2,34,1,1,4,5,5,typical,173,508,2,8,8,8,8,3
18,20,2,34,1,1,4,5,5,typical,128,663,2,4,6,5,5,6
19,1,3,32,1,1,4,4,7,atypical,377,103,2,7,5,7,8,7
19,2,3,32,1,1,4,4,7,atypical,365,112,2,9,9,9,9,9
19,3,3,32,1,1,4,4,7,atypical,173,121,1,9,9,9,9,9
19,4,3,32,1,1,4,4,7,atypical,354,144,3,9,9,9,9,9
19,5,3,32,1,1,4,4,7,atypical,128,199,1,9,8,8,9,8
